id,year,description,instructions,warning_message,active,createdAt,updatedAt,ModelId,ShopId,slug
354,1995.5-1998,,,,true,2021-06-17 22:51:05.306+00,2021-06-17 22:51:05.306+00,110,1,19955-1998
358,1997-2001,,,,true,2021-10-27 21:58:04.89+00,2021-10-27 21:58:04.89+00,125,1,1997-2001
289,2000,,,,true,2019-09-09 19:45:05.762+00,2019-09-27 19:14:49.104+00,,1,2000
355,2021-2022,,,,true,2021-07-02 20:02:40.931+00,2021-11-11 17:31:46.488+00,66,1,2021-2022
359,2021-2022,,,,true,2022-03-08 19:49:55.602+00,2022-03-08 19:49:55.602+00,72,1,2021-2022
360,2020-2022,,,,true,2022-03-11 20:40:39.547+00,2022-03-11 20:40:39.547+00,77,1,2020-2022
280,2010-2021,,,,true,2019-09-09 19:45:05.609+00,2022-03-24 18:38:26.726+00,116,1,2010-2020
361,2019-2021,,,,true,2022-04-12 20:23:54.469+00,2022-04-12 20:23:54.469+00,79,1,2019-2021
362,2015-2018,,,,true,2022-05-04 15:41:33.432+00,2022-05-04 15:41:33.432+00,145,1,2015-2018
317,2020-2022,,,,true,2020-02-13 14:30:54.883+00,2022-05-17 22:41:30.859+00,134,1,2020-2022
299,2003-2022,,,,true,2020-01-14 07:27:39.909+00,2022-06-08 15:05:50.615+00,133,1,2003-2021
336,2019-2022,,,,true,2020-03-26 19:53:56.168+00,2022-06-08 18:22:23.492+00,74,1,2019-2021
265,2016-2022,,,,true,2019-09-09 19:45:05.403+00,2022-06-08 18:39:40.424+00,108,1,2016-2021
242,2003-2005,,,,true,2019-09-09 19:45:05.227+00,2019-09-27 19:14:49.104+00,100,1,2003-2005
283,2005-2008,,,,true,2019-09-09 19:45:05.627+00,2020-06-25 22:32:46.329+00,118,1,2005-2008
247,2002-2005,,,,true,2019-09-09 19:45:05.246+00,2019-09-27 19:14:49.104+00,101,1,2002-2005
252,1981-1993,,,,true,2019-09-09 19:45:05.246+00,2019-09-27 19:14:49.104+00,101,1,1981-1993
262,1981-1993,,,,true,2019-09-09 19:45:05.364+00,2019-09-27 19:14:49.104+00,106,1,1981-1993
267,2012-2015,,,,true,2019-09-09 19:45:05.403+00,2019-09-27 19:14:49.104+00,108,1,2012-2015
278,1992-1998,,,,true,2019-09-09 19:45:05.515+00,2019-09-27 19:14:49.105+00,114,1,1992-1998
288,1999-2004,,,,true,2019-09-09 19:45:05.738+00,2019-09-27 19:14:49.105+00,122,1,1999-2004
293,2002,,,,true,2019-09-09 19:45:05.841+00,2019-09-27 19:14:49.105+00,127,1,2002
257,2006-2008,,,,true,2019-09-09 19:45:05.285+00,2020-01-14 07:43:05.099+00,104,1,2006-2008
302,1966-1977,,,,true,2020-01-14 07:45:07.571+00,2020-01-14 07:45:07.571+00,72,1,1966-1977
309,1967-1972,,,,true,2020-02-10 16:19:45.392+00,2020-02-10 16:19:45.392+00,88,1,1967-1972
314,1967-1972,,,,true,2020-02-10 16:22:23.036+00,2020-02-10 16:22:23.036+00,76,1,1967-1972
331,1982-1994,,,,true,2020-03-12 17:00:15.476+00,2020-03-12 17:00:15.476+00,140,1,1982-1994
342,2017-2019,,,,true,2020-08-18 13:22:43.434+00,2020-08-18 13:22:43.434+00,77,1,2017-2019
338,1999-2003,,,,true,2020-05-12 17:36:59.09+00,2020-05-12 17:36:59.09+00,,1,1999-2003
348,2003-2007,,,,true,2020-08-18 22:06:42.48+00,2021-03-12 21:17:07.233+00,143,1,2003-2015
271,1999-2002,,,,true,2019-09-09 19:45:05.455+00,2021-06-17 22:36:37.109+00,110,1,1999-2002
356,2003-2014 (1500 AWD),,,,true,2021-08-31 17:10:39.355+00,2021-09-01 16:50:13.031+00,133,1,2003-2014_1500AWD
318,2020-2022,,,,true,2020-02-13 14:32:19.529+00,2022-06-08 15:49:08.578+00,88,1,2020-2021
325,2019-2022,,,,true,2020-03-03 20:14:31.014+00,2022-06-08 18:01:52.976+00,105,1,2019-2020
243,2010-2018,,,,true,2019-09-09 19:45:05.227+00,2019-09-27 19:14:49.105+00,100,1,2010-2018
249,2006-2008,,,,true,2019-09-09 19:45:05.246+00,2019-09-27 19:14:49.105+00,101,1,2006-2008
255,2004-2006,,,,true,2019-09-09 19:45:05.282+00,2019-09-27 19:14:49.105+00,102,1,2004-2006
266,2005-2011,,,,true,2019-09-09 19:45:05.403+00,2019-09-27 19:14:49.105+00,108,1,2005-2011
274,2006-2009,,,,true,2019-09-09 19:45:05.455+00,2019-09-27 19:14:49.105+00,110,1,2006-2009
279,2003-2015,,,,true,2019-09-09 19:45:05.555+00,2019-09-27 19:14:49.105+00,115,1,2003-2015
284,1996-2004,,,,true,2019-09-09 19:45:05.658+00,2019-09-27 19:14:49.105+00,120,1,1996-2004
303,2008-2014,,,,true,2020-01-14 07:46:38.437+00,2020-01-14 07:46:38.437+00,70,1,2008-2014
310,1967-1972,,,,true,2020-02-10 16:20:04.477+00,2020-02-10 16:20:04.477+00,87,1,1967-1972
315,1967-1972,,,,true,2020-02-10 16:22:40.721+00,2020-02-10 16:22:40.721+00,80,1,1967-1972
326,1991-2002,,,,true,2020-03-03 20:18:53.902+00,2020-03-03 20:18:53.902+00,136,1,1991-2002
332,1995-2005,,,,true,2020-03-12 17:00:33.657+00,2020-03-12 17:00:33.657+00,140,1,1995-2005
261,2016-2018,,,,true,2019-09-09 19:45:05.345+00,2020-09-16 14:27:38.103+00,105,1,2016-2018
357,2003-2014 (1500 AWD),,,,true,2021-08-31 17:11:49.154+00,2021-09-01 16:51:18.436+00,78,1,2003-2014_1500AWD
290,1984-1996,,,,true,2019-09-09 19:45:05.762+00,2021-10-27 21:57:52.183+00,125,1,1984-1996
319,2020-2022,,,,true,2020-02-13 14:33:05.613+00,2021-11-11 20:39:13.904+00,67,1,2020-2022
343,2019-2022,,,,true,2020-08-18 13:30:29.341+00,2022-06-08 16:54:49.416+00,135,1,2019-2021
134,2004-2008,,,,true,2019-09-09 19:45:04.433+00,2019-09-27 19:14:49.09+00,66,1,2004-2008
136,1973-1979,,,,true,2019-09-09 19:45:04.434+00,2019-09-27 19:14:49.09+00,66,1,1973-1979
135,2009-2014,,,,true,2019-09-09 19:45:04.433+00,2019-09-27 19:14:49.09+00,66,1,2009-2014
138,1987-1991,,,,true,2019-09-09 19:45:04.436+00,2019-09-27 19:14:49.09+00,66,1,1987-1991
143,1980-1986,,,,true,2019-09-09 19:45:04.436+00,2019-09-27 19:14:49.091+00,66,1,1980-1986
146,2011-2016,,,,true,2019-09-09 19:45:04.476+00,2019-09-27 19:14:49.091+00,67,1,2011-2016
147,1999-2004,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.091+00,67,1,1999-2004
151,1992-1996,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.093+00,67,1,1992-1996
152,1997-1998 square body,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.093+00,67,1,1997-1998-square-body
154,1980-1986,,,,true,2019-09-09 19:45:04.478+00,2019-09-27 19:14:49.093+00,67,1,1980-1986
153,2017-2019,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.093+00,67,1,2017-2019
168,1989-1992,,,,true,2019-09-09 19:45:04.62+00,2019-09-27 19:14:49.095+00,74,1,1989-1992
178,1973-1987,,,,true,2019-09-09 19:45:04.691+00,2019-09-27 19:14:49.096+00,76,1,1973-1987
181,2008-2010,,,,true,2019-09-09 19:45:04.709+00,2019-09-27 19:14:49.096+00,77,1,2008-2010
185,1973-1987,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.096+00,79,1,1973-1987
190,2016-2018,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.097+00,79,1,2016-2018
194,2000-2006,,,,true,2019-09-09 19:45:04.788+00,2019-09-27 19:14:49.097+00,81,1,2000-2006
199,1992-1999,,,,true,2019-09-09 19:45:04.837+00,2019-09-27 19:14:49.098+00,85,1,1992-1999
204,1973-1987,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,1973-1987
206,1999-2002,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,1999-2002
208,2016-2018,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,2016-2018
207,2003-2007 LD,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,2003-2007-LD
209,2003-2007,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.098+00,88,1,2003-2007
225,1992-1999,,,,true,2019-09-09 19:45:04.986+00,2019-09-27 19:14:49.1+00,91,1,1992-1999
234,1992-1994,,,,true,2019-09-09 19:45:05.123+00,2019-09-27 19:14:49.101+00,95,1,1992-1994
235,1995-2005,,,,true,2019-09-09 19:45:05.126+00,2019-09-27 19:14:49.101+00,96,1,1995-2005
244,1994-2002,,,,true,2019-09-09 19:45:05.227+00,2019-09-27 19:14:49.106+00,100,1,1994-2002
250,2013-2019 (4th Gen),,,,true,2019-09-09 19:45:05.246+00,2019-09-27 19:14:49.106+00,101,1,2013-2019-4th-gen
254,1998-2003,,,,true,2019-09-09 19:45:05.282+00,2019-09-27 19:14:49.106+00,102,1,1998-2003
259,2005-2011,,,,true,2019-09-09 19:45:05.285+00,2019-09-27 19:14:49.106+00,103,1,2005-2011
264,1995-2004,,,,true,2019-09-09 19:45:05.403+00,2019-09-27 19:14:49.106+00,108,1,1995-2004
269,2007-2013,,,,true,2019-09-09 19:45:05.406+00,2019-09-27 19:14:49.106+00,109,1,2007-2013
273,2005-2007,,,,true,2019-09-09 19:45:05.498+00,2019-09-27 19:14:49.106+00,111,1,2005-2007
277,1983-1988,,,,true,2019-09-09 19:45:05.508+00,2019-09-27 19:14:49.106+00,113,1,1983-1988
282,1987-1997,,,,true,2019-09-09 19:45:05.632+00,2019-09-27 19:14:49.106+00,119,1,1987-1997
287,2005-2010,,,,true,2019-09-09 19:45:05.737+00,2019-09-27 19:14:49.106+00,123,1,2005-2010
292,2003-2009,,,,true,2019-09-09 19:45:05.84+00,2019-09-27 19:14:49.106+00,127,1,2003-2009
296,2002-2009,,,,true,2019-09-09 19:45:05.888+00,2019-09-27 19:14:49.106+00,130,1,2002-2009
304,1975-1991,,,,true,2020-01-14 07:46:44.532+00,2020-01-14 07:46:44.532+00,70,1,1975-1991
311,1967-1972,,,,true,2020-02-10 16:21:09.249+00,2020-02-10 16:21:09.249+00,91,1,1967-1972
316,1967-1972,,,,true,2020-02-10 16:23:00.69+00,2020-02-10 16:23:00.69+00,85,1,1967-1972
327,1997-2006,,,,true,2020-03-03 20:22:53.427+00,2020-03-03 20:22:53.427+00,137,1,1997-2006
333,1972-1980,,,,true,2020-03-12 17:29:27.708+00,2020-03-12 17:29:27.708+00,107,1,1972-1980
344,1990-1998,,,,true,2020-08-18 13:39:24.41+00,2020-08-18 13:39:24.41+00,142,1,1990-1998
320,2019-2022,,,,true,2020-02-13 14:35:55.747+00,2022-06-08 16:48:17.323+00,100,1,2019-2021
